step,survival_probability,expected_alive_1e3,expected_alive_1e4,expected_alive_1e5,expected_alive_1e6,expected_alive_1e7
201,0.025,25.0,250.0,2500.0,25000.0,250000.0
202,0.0246,24.6,246.0,2460.0,24600.0,246000.0
203,0.0239,23.900000000000002,239.0,2390.0,23900.0,239000.0
204,0.0236,23.599999999999998,236.0,2360.0,23600.0,236000.0
205,0.0234,23.400000000000002,234.0,2340.0,23400.0,234000.0
206,0.0226,22.599999999999998,225.99999999999997,2260.0,22600.0,226000.0
207,0.0223,22.3,223.0,2230.0,22300.0,223000.0
208,0.0217,21.7,217.0,2170.0,21700.0,217000.0
209,0.0214,21.4,214.0,2140.0,21400.0,214000.0
210,0.0208,20.8,208.0,2080.0,20800.0,208000.0
211,0.0201,20.1,201.0,2010.0,20100.0,201000.0
212,0.0195,19.5,195.0,1950.0,19500.0,195000.0
213,0.0189,18.9,189.0,1890.0,18900.0,189000.0
214,0.0182,18.2,182.0,1820.0,18200.0,182000.0
215,0.0179,17.9,179.0,1790.0,17900.0,179000.0
216,0.0171,17.1,171.0,1710.0,17100.0,171000.0
217,0.0168,16.8,168.0,1680.0,16800.0,168000.0
218,0.0162,16.2,162.0,1620.0,16200.0,162000.0
219,0.0158,15.8,158.00000000000003,1580.0000000000002,15800.000000000002,158000.00000000003
220,0.0157,15.7,157.0,1569.9999999999998,15699.999999999998,157000.0
221,0.0153,15.299999999999999,153.0,1530.0,15300.0,153000.0
222,0.0152,15.2,152.0,1520.0,15200.0,152000.0
223,0.0146,14.6,146.0,1460.0,14600.0,146000.0
224,0.0144,14.4,144.0,1440.0,14400.0,144000.0
225,0.0142,14.200000000000001,142.0,1420.0,14200.0,142000.0
226,0.0138,13.799999999999999,138.0,1380.0,13800.0,138000.0
227,0.0136,13.6,136.0,1360.0,13600.0,136000.0
228,0.0134,13.4,134.0,1340.0,13400.0,134000.0
229,0.0132,13.2,132.0,1320.0,13200.0,132000.0
230,0.013,13.0,130.0,1300.0,13000.0,130000.0
231,0.0128,12.8,128.0,1280.0,12800.0,128000.0
232,0.0127,12.7,127.0,1270.0,12700.0,127000.0
233,0.0123,12.3,123.0,1230.0,12300.0,123000.0
234,0.0121,12.1,121.0,1210.0,12100.0,121000.0
235,0.0119,11.9,119.00000000000001,1190.0,11900.0,119000.00000000001
236,0.0116,11.6,115.99999999999999,1160.0,11600.0,115999.99999999999
237,0.0115,11.5,115.0,1150.0,11500.0,115000.0
238,0.0112,11.2,112.0,1120.0,11200.0,112000.0
239,0.011,11.0,110.0,1100.0,11000.0,110000.0
240,0.0108,10.8,108.0,1080.0,10800.0,108000.0
241,0.0104,10.4,104.0,1040.0,10400.0,104000.0
242,0.0103,10.3,103.0,1030.0,10300.0,103000.0
243,0.0101,10.1,101.0,1010.0,10100.0,101000.0
244,0.0097,9.700000000000001,97.0,970.0,9700.0,97000.0
245,0.0095,9.5,95.0,950.0,9500.0,95000.0
246,0.0093,9.299999999999999,92.99999999999999,929.9999999999999,9300.0,92999.99999999999
247,0.0093,9.299999999999999,92.99999999999999,929.9999999999999,9300.0,92999.99999999999
248,0.0093,9.299999999999999,92.99999999999999,929.9999999999999,9300.0,92999.99999999999
249,0.0091,9.1,91.0,910.0,9100.0,91000.0
250,0.0089,8.9,89.0,890.0,8900.0,89000.0
251,0.0089,8.9,89.0,890.0,8900.0,89000.0
252,0.0086,8.6,86.0,860.0,8600.0,86000.0
253,0.0086,8.6,86.0,860.0,8600.0,86000.0
254,0.0084,8.4,84.0,840.0,8400.0,84000.0
255,0.008,8.0,80.0,800.0,8000.0,80000.0
256,0.0077,7.7,77.0,770.0,7700.0,77000.0
257,0.0075,7.5,75.0,750.0,7500.0,75000.0
258,0.0074,7.4,74.0,740.0,7400.0,74000.0
259,0.0072,7.2,72.0,720.0,7200.0,72000.0
260,0.0071,7.1000000000000005,71.0,710.0,7100.0,71000.0
261,0.0069,6.8999999999999995,69.0,690.0,6900.0,69000.0
262,0.0068,6.8,68.0,680.0,6800.0,68000.0
263,0.0067,6.7,67.0,670.0,6700.0,67000.0
264,0.0066,6.6,66.0,660.0,6600.0,66000.0
265,0.0064,6.4,64.0,640.0,6400.0,64000.0
266,0.0063,6.3,63.0,630.0,6300.0,63000.0
267,0.0062,6.2,62.0,620.0,6200.0,62000.0
268,0.0057,5.7,57.0,570.0,5700.0,57000.0
269,0.0057,5.7,57.0,570.0,5700.0,57000.0
270,0.0054,5.4,54.0,540.0,5400.0,54000.0
271,0.0054,5.4,54.0,540.0,5400.0,54000.0
272,0.0052,5.2,52.0,520.0,5200.0,52000.0
273,0.0049,4.8999999999999995,49.0,490.0,4900.0,49000.0
274,0.0048,4.8,47.99999999999999,479.99999999999994,4800.0,47999.99999999999
275,0.0047,4.7,47.0,470.0,4700.0,47000.0
276,0.0044,4.4,44.0,440.0,4400.0,44000.0
277,0.0044,4.4,44.0,440.0,4400.0,44000.0
278,0.0043,4.3,43.0,430.0,4300.0,43000.0
279,0.0042,4.2,42.0,420.0,4200.0,42000.0
280,0.0041,4.1000000000000005,41.0,410.00000000000006,4100.0,41000.0
281,0.004,4.0,40.0,400.0,4000.0,40000.0
282,0.0039,3.9,39.0,390.0,3900.0,39000.0
283,0.0038,3.8,38.0,380.0,3800.0,38000.0
284,0.0036,3.6,36.0,360.0,3600.0,36000.0
285,0.0035,3.5,35.0,350.0,3500.0,35000.0
286,0.0035,3.5,35.0,350.0,3500.0,35000.0
287,0.0034,3.4,34.0,340.0,3400.0,34000.0
288,0.0034,3.4,34.0,340.0,3400.0,34000.0
289,0.0032,3.2,32.0,320.0,3200.0,32000.0
290,0.0032,3.2,32.0,320.0,3200.0,32000.0
291,0.0031,3.1,31.0,310.0,3100.0,31000.0
292,0.0031,3.1,31.0,310.0,3100.0,31000.0
293,0.003,3.0,30.0,300.0,3000.0,30000.0
294,0.003,3.0,30.0,300.0,3000.0,30000.0
295,0.0029,2.9,28.999999999999996,290.0,2900.0,28999.999999999996
296,0.0029,2.9,28.999999999999996,290.0,2900.0,28999.999999999996
297,0.0028,2.8,28.0,280.0,2800.0,28000.0
298,0.0027,2.7,27.0,270.0,2700.0,27000.0
299,0.0026,2.6,26.0,260.0,2600.0,26000.0
300,0.0025,2.5,25.0,250.0,2500.0,25000.0
301,0.0025,2.5,25.0,250.0,2500.0,25000.0
