trial,final_step,trapped,boundary_dead,contact_dead
280,96,1,0,0
281,53,1,0,0
282,151,1,0,0
283,15,1,0,0
284,108,1,0,0
285,107,1,0,0
286,47,1,0,0
287,33,1,0,0
288,59,1,0,0
289,19,1,0,0
290,41,1,0,0
291,23,1,0,0
292,8,1,0,0
293,91,1,0,0
294,127,1,0,0
295,27,1,0,0
296,204,1,0,0
297,47,1,0,0
298,83,1,0,0
299,75,1,0,0
300,28,1,0,0
301,118,1,0,0
302,41,1,0,0
303,30,1,0,0
304,321,1,0,0
305,103,1,0,0
306,140,1,0,0
307,82,1,0,0
308,91,1,0,0
309,17,1,0,0
310,101,1,0,0
311,62,1,0,0
312,22,1,0,0
313,15,1,0,0
314,47,1,0,0
315,50,1,0,0
316,67,1,0,0
317,139,1,0,0
318,65,1,0,0
319,30,1,0,0
320,14,1,0,0
321,102,1,0,0
322,65,1,0,0
323,103,1,0,0
324,37,1,0,0
325,39,1,0,0
326,35,1,0,0
327,50,1,0,0
328,105,1,0,0
329,62,1,0,0
330,87,1,0,0
331,155,1,0,0
332,124,1,0,0
333,31,1,0,0
334,19,1,0,0
335,12,1,0,0
336,225,1,0,0
337,132,1,0,0
338,45,1,0,0
339,18,1,0,0
340,87,1,0,0
341,81,1,0,0
342,82,1,0,0
343,88,1,0,0
344,18,1,0,0
345,48,1,0,0
346,25,1,0,0
347,39,1,0,0
348,212,1,0,0
349,140,1,0,0
350,118,1,0,0
351,37,1,0,0
352,78,1,0,0
353,31,1,0,0
354,80,1,0,0
355,32,1,0,0
356,45,1,0,0
357,108,1,0,0
358,62,1,0,0
359,79,1,0,0
360,26,1,0,0
361,27,1,0,0
362,64,1,0,0
363,13,1,0,0
364,72,1,0,0
365,76,1,0,0
366,19,1,0,0
367,211,1,0,0
368,51,1,0,0
369,139,1,0,0
370,125,1,0,0
371,67,1,0,0
372,31,1,0,0
373,45,1,0,0
374,113,1,0,0
375,54,1,0,0
376,22,1,0,0
377,44,1,0,0
378,35,1,0,0
379,11,1,0,0
380,42,1,0,0
381,278,1,0,0
382,86,1,0,0
383,96,1,0,0
384,20,1,0,0
385,75,1,0,0
386,160,1,0,0
387,118,1,0,0
388,121,1,0,0
389,134,1,0,0
390,41,1,0,0
391,144,1,0,0
392,106,1,0,0
393,36,1,0,0
394,11,1,0,0
395,25,1,0,0
396,7,1,0,0
397,105,1,0,0
398,35,1,0,0
399,21,1,0,0
400,19,1,0,0
401,52,1,0,0
402,38,1,0,0
403,25,1,0,0
404,79,1,0,0
405,49,1,0,0
406,69,1,0,0
407,69,1,0,0
408,75,1,0,0
409,48,1,0,0
410,130,1,0,0
411,129,1,0,0
412,36,1,0,0
413,67,1,0,0
414,15,1,0,0
415,8,1,0,0
416,146,1,0,0
417,30,1,0,0
418,161,1,0,0
419,188,1,0,0
420,150,1,0,0
421,207,1,0,0
422,149,1,0,0
423,97,1,0,0
424,79,1,0,0
425,39,1,0,0
426,121,1,0,0
427,101,1,0,0
428,116,1,0,0
429,89,1,0,0
430,61,1,0,0
431,49,1,0,0
432,17,1,0,0
433,22,1,0,0
434,65,1,0,0
435,134,1,0,0
436,66,1,0,0
437,45,1,0,0
438,48,1,0,0
439,44,1,0,0
440,73,1,0,0
441,46,1,0,0
442,159,1,0,0
443,136,1,0,0
444,147,1,0,0
445,85,1,0,0
446,17,1,0,0
447,130,1,0,0
448,37,1,0,0
449,63,1,0,0
450,118,1,0,0
451,34,1,0,0
452,72,1,0,0
453,91,1,0,0
454,84,1,0,0
455,174,1,0,0
456,24,1,0,0
457,61,1,0,0
458,23,1,0,0
459,23,1,0,0
460,143,1,0,0
461,30,1,0,0
462,20,1,0,0
463,21,1,0,0
464,96,1,0,0
465,44,1,0,0
466,61,1,0,0
467,60,1,0,0
468,52,1,0,0
469,140,1,0,0
470,19,1,0,0
471,72,1,0,0
472,34,1,0,0
473,18,1,0,0
474,40,1,0,0
475,15,1,0,0
476,234,1,0,0
477,36,1,0,0
478,79,1,0,0
